DP Date;P Produit;c Chute;reincorpo_maxi(p, dp, c)
2022-04-03 00:00:00;product_1;chute_1;592
2022-04-14 00:00:00;product_1;chute_1;592
2022-04-15 00:00:00;product_1;chute_1;1052
2022-04-16 00:00:00;product_1;chute_1;1052
2022-04-20 00:00:00;product_1;chute_1;1052
2022-04-21 00:00:00;product_1;chute_1;1052
2022-04-22 00:00:00;product_1;chute_1;1052
2022-05-03 00:00:00;product_1;chute_1;1504
2022-05-04 00:00:00;product_1;chute_1;1504
2022-05-05 00:00:00;product_1;chute_1;1504
2022-04-01 00:00:00;product_13;chute_1;20234
2022-04-02 00:00:00;product_13;chute_1;20234
2022-04-07 00:00:00;product_19;chute_1;5602
2022-04-08 00:00:00;product_19;chute_1;5602
2022-04-09 00:00:00;product_19;chute_1;5602
2022-04-10 00:00:00;product_19;chute_1;5602
2022-04-11 00:00:00;product_19;chute_1;5602
2022-04-21 00:00:00;product_19;chute_1;4955
2022-04-22 00:00:00;product_19;chute_1;4955
2022-04-23 00:00:00;product_19;chute_1;4955
2022-04-24 00:00:00;product_19;chute_1;4955
2022-04-07 00:00:00;product_3;chute_2;1092
2022-04-08 00:00:00;product_3;chute_2;1092
2022-04-09 00:00:00;product_3;chute_2;1092
2022-04-10 00:00:00;product_3;chute_2;1092
2022-04-11 00:00:00;product_3;chute_2;1092
2022-04-21 00:00:00;product_3;chute_2;1126
2022-04-22 00:00:00;product_3;chute_2;1126
2022-04-23 00:00:00;product_3;chute_2;1126
2022-04-24 00:00:00;product_3;chute_2;1126
2022-03-22 00:00:00;product_7;chute_2;2671
2022-03-23 00:00:00;product_7;chute_2;2671
2022-03-24 00:00:00;product_7;chute_2;2671
2022-03-26 00:00:00;product_7;chute_2;2671
2022-03-27 00:00:00;product_7;chute_2;2671
2022-03-28 00:00:00;product_7;chute_2;2671
2022-03-30 00:00:00;product_7;chute_2;2671
2022-03-31 00:00:00;product_7;chute_2;2671
2022-04-01 00:00:00;product_7;chute_2;2671
2022-04-03 00:00:00;product_7;chute_2;2660
2022-04-04 00:00:00;product_7;chute_2;2660
2022-04-05 00:00:00;product_7;chute_2;2660
2022-04-06 00:00:00;product_7;chute_2;2660
