C Chute;DC DMC;DC DLC;Stock_proj_chute(c,dc)
chute_1;2025-04-17 00:00:00;2025-05-15 00:00:00;1101.3
chute_2;2025-04-18 00:00:00;2025-05-16 00:00:00;755.4
chute_2;2025-04-19 00:00:00;2025-05-17 00:00:00;995.58
chute_1;2025-04-19 00:00:00;2025-05-17 00:00:00;920.1
chute_1;2025-04-18 00:00:00;2025-05-16 00:00:00;866
chute_2;2025-04-17 00:00:00;2025-05-15 00:00:00;915.3
chute_1;2025-04-20 00:00:00;2025-05-18 00:00:00;930
chute_2;2025-04-20 00:00:00;2025-05-18 00:00:00;875.4
chute_2;2025-04-10 00:00:00;2025-05-08 00:00:00;855.7
chute_1;2025-04-08 00:00:00;2025-05-06 00:00:00;856.4
chute_2;2025-04-11 00:00:00;2025-05-09 00:00:00;908
chute_1;2025-04-11 00:00:00;2025-05-09 00:00:00;824.94
chute_2;2025-04-08 00:00:00;2025-05-06 00:00:00;865.23
chute_1;2025-04-10 00:00:00;2025-05-08 00:00:00;1011.8
chute_1;2025-04-13 00:00:00;2025-05-11 00:00:00;959.1
chute_2;2025-04-14 00:00:00;2025-05-12 00:00:00;1033.4
chute_1;2025-04-12 00:00:00;2025-05-10 00:00:00;982.1
chute_2;2025-04-15 00:00:00;2025-05-13 00:00:00;475.9
chute_1;2025-04-15 00:00:00;2025-05-13 00:00:00;936.4
chute_2;2025-04-12 00:00:00;2025-05-10 00:00:00;917.3
chute_1;2025-04-14 00:00:00;2025-05-12 00:00:00;983.2
chute_2;2025-04-13 00:00:00;2025-05-11 00:00:00;790
chute_2;2025-04-03 00:00:00;2025-05-01 00:00:00;1026.7
chute_1;2025-04-03 00:00:00;2025-05-01 00:00:00;956.2
chute_1;2025-04-05 00:00:00;2025-05-03 00:00:00;718.96
chute_2;2025-04-06 00:00:00;2025-05-04 00:00:00;964
chute_1;2025-04-04 00:00:00;2025-05-02 00:00:00;758.9
chute_2;2025-04-07 00:00:00;2025-05-05 00:00:00;856
chute_1;2025-04-07 00:00:00;2025-05-05 00:00:00;762
chute_2;2025-04-04 00:00:00;2025-05-02 00:00:00;908.7
chute_1;2025-04-06 00:00:00;2025-05-04 00:00:00;711.2
chute_2;2025-04-05 00:00:00;2025-05-03 00:00:00;907.2
chute_3;2025-04-20 00:00:00;2025-05-18 00:00:00;2012.94
chute_3;2025-04-19 00:00:00;2025-05-17 00:00:00;2326.83
chute_3;2025-04-18 00:00:00;2025-05-16 00:00:00;1914.86
chute_3;2025-04-17 00:00:00;2025-05-15 00:00:00;2349.11
chute_3;2025-04-15 00:00:00;2025-05-13 00:00:00;1759.21
chute_3;2025-04-14 00:00:00;2025-05-12 00:00:00;2503.6
chute_3;2025-04-13 00:00:00;2025-05-11 00:00:00;2240.46
chute_3;2025-04-12 00:00:00;2025-05-10 00:00:00;2517.8
chute_3;2025-04-11 00:00:00;2025-05-09 00:00:00;2487.2
chute_3;2025-04-10 00:00:00;2025-05-08 00:00:00;2354.42
chute_3;2025-04-08 00:00:00;2025-05-06 00:00:00;2448.2
