C Chute;DC DMC;DC DLC;Stock_proj_chute(c,dc)
chute_1;2023-06-02 00:00:00;2023-06-30 00:00:00;270
chute_1;2023-06-03 00:00:00;2023-07-01 00:00:00;225
chute_1;2023-06-04 00:00:00;2023-07-02 00:00:00;225
chute_1;2023-06-08 00:00:00;2023-07-06 00:00:00;180
chute_1;2023-06-09 00:00:00;2023-07-07 00:00:00;225
chute_1;2023-06-10 00:00:00;2023-07-08 00:00:00;225
chute_1;2023-06-18 00:00:00;2023-07-16 00:00:00;450
chute_1;2023-06-19 00:00:00;2023-07-17 00:00:00;765
chute_1;2023-06-26 00:00:00;2023-07-24 00:00:00;75
chute_1;2023-06-27 00:00:00;2023-07-25 00:00:00;240
chute_2;2023-06-01 00:00:00;2023-06-29 00:00:00;270
chute_2;2023-06-08 00:00:00;2023-07-06 00:00:00;270
chute_2;2023-06-09 00:00:00;2023-07-07 00:00:00;150
chute_2;2023-06-11 00:00:00;2023-07-09 00:00:00;270
chute_2;2023-06-13 00:00:00;2023-07-11 00:00:00;270
chute_2;2023-06-14 00:00:00;2023-07-12 00:00:00;448
chute_2;2023-06-16 00:00:00;2023-07-14 00:00:00;225
chute_2;2023-06-29 00:00:00;2023-07-27 00:00:00;570
chute_4;2023-06-09 00:00:00;2023-07-07 00:00:00;270
chute_5;2023-06-01 00:00:00;2023-06-29 00:00:00;180
chute_5;2023-06-08 00:00:00;2023-07-06 00:00:00;225
chute_5;2023-06-15 00:00:00;2023-07-13 00:00:00;150
chute_5;2023-06-19 00:00:00;2023-07-17 00:00:00;75
chute_5;2023-06-30 00:00:00;2023-07-28 00:00:00;225
chute_6;2023-06-01 00:00:00;2023-06-29 00:00:00;225
chute_6;2023-06-02 00:00:00;2023-06-30 00:00:00;375
chute_6;2023-06-03 00:00:00;2023-07-01 00:00:00;450
chute_6;2023-06-04 00:00:00;2023-07-02 00:00:00;645
chute_6;2023-06-05 00:00:00;2023-07-03 00:00:00;300
chute_6;2023-06-06 00:00:00;2023-07-04 00:00:00;150
chute_6;2023-06-07 00:00:00;2023-07-05 00:00:00;570
chute_6;2023-06-09 00:00:00;2023-07-07 00:00:00;75
chute_6;2023-06-11 00:00:00;2023-07-09 00:00:00;75
chute_6;2023-06-13 00:00:00;2023-07-11 00:00:00;300
chute_6;2023-06-14 00:00:00;2023-07-12 00:00:00;240
chute_6;2023-06-15 00:00:00;2023-07-13 00:00:00;345
chute_6;2023-06-16 00:00:00;2023-07-14 00:00:00;150
chute_6;2023-06-17 00:00:00;2023-07-15 00:00:00;525
chute_6;2023-06-18 00:00:00;2023-07-16 00:00:00;300
chute_6;2023-06-22 00:00:00;2023-07-20 00:00:00;450
chute_6;2023-06-23 00:00:00;2023-07-21 00:00:00;495
chute_6;2023-06-24 00:00:00;2023-07-22 00:00:00;300
chute_6;2023-06-25 00:00:00;2023-07-23 00:00:00;495
chute_6;2023-06-26 00:00:00;2023-07-24 00:00:00;795
chute_6;2023-06-27 00:00:00;2023-07-25 00:00:00;705
chute_6;2023-06-28 00:00:00;2023-07-26 00:00:00;375
chute_6;2023-06-29 00:00:00;2023-07-27 00:00:00;300
chute_6;2023-06-30 00:00:00;2023-07-28 00:00:00;375
chute_7;2023-06-05 00:00:00;2023-07-03 00:00:00;75
chute_7;2023-06-08 00:00:00;2023-07-06 00:00:00;270
chute_7;2023-06-11 00:00:00;2023-07-09 00:00:00;375
chute_7;2023-06-12 00:00:00;2023-07-10 00:00:00;225
chute_7;2023-06-13 00:00:00;2023-07-11 00:00:00;300
chute_7;2023-06-14 00:00:00;2023-07-12 00:00:00;375
chute_7;2023-06-15 00:00:00;2023-07-13 00:00:00;225
chute_7;2023-06-17 00:00:00;2023-07-15 00:00:00;150
chute_7;2023-06-18 00:00:00;2023-07-16 00:00:00;270
chute_7;2023-06-20 00:00:00;2023-07-18 00:00:00;255
chute_7;2023-06-21 00:00:00;2023-07-19 00:00:00;1035
chute_7;2023-06-22 00:00:00;2023-07-20 00:00:00;345
chute_7;2023-06-23 00:00:00;2023-07-21 00:00:00;375
chute_7;2023-06-24 00:00:00;2023-07-22 00:00:00;495
chute_7;2023-06-25 00:00:00;2023-07-23 00:00:00;495
chute_7;2023-06-28 00:00:00;2023-07-26 00:00:00;750
chute_7;2023-06-29 00:00:00;2023-07-27 00:00:00;75
chute_7;2023-06-30 00:00:00;2023-07-28 00:00:00;495
chute_8;2023-06-01 00:00:00;2023-06-29 00:00:00;450
chute_8;2023-06-02 00:00:00;2023-06-30 00:00:00;495
chute_8;2023-06-05 00:00:00;2023-07-03 00:00:00;225
chute_8;2023-06-06 00:00:00;2023-07-04 00:00:00;150
chute_8;2023-06-07 00:00:00;2023-07-05 00:00:00;150
chute_8;2023-06-12 00:00:00;2023-07-10 00:00:00;300
chute_8;2023-06-17 00:00:00;2023-07-15 00:00:00;270
chute_8;2023-06-19 00:00:00;2023-07-17 00:00:00;150
chute_8;2023-06-23 00:00:00;2023-07-21 00:00:00;150
chute_9;2023-06-07 00:00:00;2023-07-05 00:00:00;375
chute_9;2023-06-08 00:00:00;2023-07-06 00:00:00;225
chute_9;2023-06-09 00:00:00;2023-07-07 00:00:00;225
chute_9;2023-06-10 00:00:00;2023-07-08 00:00:00;795
chute_9;2023-06-11 00:00:00;2023-07-09 00:00:00;75
chute_9;2023-06-12 00:00:00;2023-07-10 00:00:00;420
chute_9;2023-06-14 00:00:00;2023-07-12 00:00:00;150
chute_9;2023-06-15 00:00:00;2023-07-13 00:00:00;255
chute_9;2023-06-16 00:00:00;2023-07-14 00:00:00;495
chute_9;2023-06-19 00:00:00;2023-07-17 00:00:00;75
chute_9;2023-06-20 00:00:00;2023-07-18 00:00:00;450
chute_9;2023-06-21 00:00:00;2023-07-19 00:00:00;150
chute_9;2023-06-22 00:00:00;2023-07-20 00:00:00;180
chute_9;2023-06-24 00:00:00;2023-07-22 00:00:00;225
chute_9;2023-06-25 00:00:00;2023-07-23 00:00:00;75
chute_10;2023-06-03 00:00:00;2023-07-01 00:00:00;270
chute_10;2023-06-04 00:00:00;2023-07-02 00:00:00;75
chute_10;2023-06-05 00:00:00;2023-07-03 00:00:00;270
chute_10;2023-06-06 00:00:00;2023-07-04 00:00:00;645
chute_11;2023-06-11 00:00:00;2023-07-09 00:00:00;75
chute_11;2023-06-12 00:00:00;2023-07-10 00:00:00;75
chute_11;2023-06-16 00:00:00;2023-07-14 00:00:00;150
chute_11;2023-06-20 00:00:00;2023-07-18 00:00:00;75
